"Stadtteil","Jahr","Realschule %"
"Rüppurr","2014",21.7
"Rüppurr","2015",29.0
"Rüppurr","2016",28.0
"Rüppurr","2017",35.2
"Rüppurr","2018",29.3
"Rüppurr","2019",27.3
"Rüppurr","2020",25.5
"Rüppurr","2021",28.9
"Waldstadt","2010",17.2
"Waldstadt","2011",14.3
"Waldstadt","2012",15.7
"Waldstadt","2013",22.0
"Waldstadt","2014",16.7
"Waldstadt","2015",20.4
"Waldstadt","2016",10.7
"Waldstadt","2017",13.3
"Waldstadt","2018",15.1
"Waldstadt","2019",12.8
"Waldstadt","2020",9.9
"Waldstadt","2021",19.5
"Rintheim","2010",23.5
"Rintheim","2011",24.1
"Rintheim","2012",32.7
"Rintheim","2013",27.5
"Rintheim","2014",33.3
"Rintheim","2015",26.1
"Rintheim","2016",41.2
"Rintheim","2017",37.8
"Rintheim","2018",27.0
"Rintheim","2019",31.1
"Rintheim","2020",35.4
"Rintheim","2021",39.3
"Hagsfeld","2010",25.0
"Hagsfeld","2011",12.8
"Hagsfeld","2012",27.0
"Hagsfeld","2013",48.4
"Hagsfeld","2014",25.9
"Hagsfeld","2015",15.8
"Hagsfeld","2016",15.6
"Hagsfeld","2017",8.0
"Hagsfeld","2018",29.0
"Hagsfeld","2019",10.8
"Hagsfeld","2020",20.0
"Hagsfeld","2021",2.3
"Durlach","2010",21.3
"Durlach","2011",16.9
"Durlach","2012",13.2
"Durlach","2013",14.5
"Durlach","2014",18.8
"Durlach","2015",27.1
"Durlach","2016",24.5
"Durlach","2017",20.1
"Durlach","2018",29.0
"Durlach","2019",28.7
"Durlach","2020",27.5
"Durlach","2021",19.0
"Grötzingen","2010",35.1
"Grötzingen","2011",21.3
"Grötzingen","2012",19.7
"Grötzingen","2013",12.5
"Grötzingen","2014",18.0
"Grötzingen","2015",16.9
"Grötzingen","2016",19.6
"Grötzingen","2017",23.6
"Grötzingen","2018",27.1
"Grötzingen","2019",19.0
"Grötzingen","2020",29.7
"Grötzingen","2021",21.2
"Stupferich","2010",36.0
"Stupferich","2011",33.3
"Stupferich","2012",20.8
"Stupferich","2013",28.6
"Stupferich","2014",40.0
"Stupferich","2015",27.8
"Stupferich","2016",32.1
"Stupferich","2017",35.3
"Stupferich","2018",40.0
"Stupferich","2019",19.0
"Stupferich","2020",41.2
"Stupferich","2021",29.0
"Hohenwettersbach","2010",25.0
"Hohenwettersbach","2011",17.9
"Hohenwettersbach","2012",15.4
"Hohenwettersbach","2013",20.5
"Hohenwettersbach","2014",20.8
"Hohenwettersbach","2015",8.3
"Hohenwettersbach","2016",17.6
"Hohenwettersbach","2017",14.0
"Hohenwettersbach","2018",9.5
"Hohenwettersbach","2019",25.8
"Hohenwettersbach","2020",14.3
"Hohenwettersbach","2021",22.0
"Wolfartsweier","2010",13.3
"Wolfartsweier","2011",37.5
"Wolfartsweier","2012",10.3
"Wolfartsweier","2013",7.0
"Wolfartsweier","2014",23.5
"Wolfartsweier","2015",35.1
"Wolfartsweier","2016",28.1
"Wolfartsweier","2017",42.0
"Wolfartsweier","2018",23.3
"Wolfartsweier","2019",33.3
"Wolfartsweier","2020",35.7
"Wolfartsweier","2021",26.5
"Grünwettersbach","2010",31.1
"Grünwettersbach","2011",33.3
"Grünwettersbach","2012",23.8
"Grünwettersbach","2013",19.6
"Grünwettersbach","2014",15.4
"Grünwettersbach","2015",34.9
"Grünwettersbach","2016",23.8
"Grünwettersbach","2017",34.1
"Grünwettersbach","2018",33.3
"Grünwettersbach","2019",22.0
"Grünwettersbach","2020",31.4
"Grünwettersbach","2021",25.9
"Palmbach","2010",
"Palmbach","2011",
"Palmbach","2012",
"Palmbach","2013",
"Palmbach","2014",
"Palmbach","2015",
"Palmbach","2016",
"Palmbach","2017",
"Palmbach","2018",
"Palmbach","2019",
"Palmbach","2020",
"Palmbach","2021",
"Neureut","2010",27.9
"Neureut","2011",30.3
"Neureut","2012",31.7
"Neureut","2013",24.3
"Neureut","2014",30.9
"Neureut","2015",19.1
"Neureut","2016",18.5
"Neureut","2017",31.0
"Neureut","2018",20.5
"Neureut","2019",23.8
"Neureut","2020",28.8
"Neureut","2021",16.4
"Nordstadt","2010",21.5
"Nordstadt","2011",30.4
"Nordstadt","2012",29.9
"Nordstadt","2013",22.7
"Nordstadt","2014",33.1
"Nordstadt","2015",17.0
"Nordstadt","2016",21.1
"Nordstadt","2017",22.8
"Nordstadt","2018",31.5
"Nordstadt","2019",29.8
"Nordstadt","2020",26.7
"Nordstadt","2021",30.3
