"Stadtteil","Jahr","Haupt-/Werkrealschule %"
"Rüppurr","2013",2.3
"Rüppurr","2014",1.4
"Rüppurr","2015",3.2
"Rüppurr","2016",1.2
"Rüppurr","2017",2.3
"Rüppurr","2018",1.1
"Rüppurr","2019",1.1
"Rüppurr","2020",1.1
"Rüppurr","2021",0.0
"Waldstadt","2010",30.1
"Waldstadt","2011",25.5
"Waldstadt","2012",18.1
"Waldstadt","2013",21.1
"Waldstadt","2014",20.4
"Waldstadt","2015",2.0
"Waldstadt","2016",0.0
"Waldstadt","2017",0.0
"Waldstadt","2018",1.2
"Waldstadt","2019",1.8
"Waldstadt","2020",1.1
"Waldstadt","2021",1.2
"Rintheim","2010",25.5
"Rintheim","2011",29.6
"Rintheim","2012",8.2
"Rintheim","2013",13.7
"Rintheim","2014",10.4
"Rintheim","2015",2.2
"Rintheim","2016",2.0
"Rintheim","2017",0.0
"Rintheim","2018",0.0
"Rintheim","2019",0.0
"Rintheim","2020",2.1
"Rintheim","2021",3.6
"Hagsfeld","2010",18.3
"Hagsfeld","2011",25.6
"Hagsfeld","2012",8.1
"Hagsfeld","2013",12.9
"Hagsfeld","2014",7.4
"Hagsfeld","2015",15.8
"Hagsfeld","2016",0.0
"Hagsfeld","2017",4.0
"Hagsfeld","2018",0.0
"Hagsfeld","2019",0.0
"Hagsfeld","2020",0.0
"Hagsfeld","2021",0.0
"Durlach","2010",20.1
"Durlach","2011",19.2
"Durlach","2012",5.0
"Durlach","2013",8.1
"Durlach","2014",7.0
"Durlach","2015",10.4
"Durlach","2016",8.3
"Durlach","2017",5.7
"Durlach","2018",6.5
"Durlach","2019",5.4
"Durlach","2020",10.5
"Durlach","2021",6.3
"Grötzingen","2010",15.6
"Grötzingen","2011",21.3
"Grötzingen","2012",4.5
"Grötzingen","2013",6.3
"Grötzingen","2014",0.0
"Grötzingen","2015",1.7
"Grötzingen","2016",1.8
"Grötzingen","2017",3.6
"Grötzingen","2018",5.7
"Grötzingen","2019",1.7
"Grötzingen","2020",3.1
"Grötzingen","2021",0.0
"Stupferich","2010",8.0
"Stupferich","2011",5.6
"Stupferich","2012",4.2
"Stupferich","2013",7.1
"Stupferich","2014",20.0
"Stupferich","2015",0.0
"Stupferich","2016",0.0
"Stupferich","2017",5.9
"Stupferich","2018",0.0
"Stupferich","2019",14.3
"Stupferich","2020",0.0
"Stupferich","2021",0.0
"Hohenwettersbach","2010",0.0
"Hohenwettersbach","2011",5.1
"Hohenwettersbach","2012",0.0
"Hohenwettersbach","2013",0.0
