"Stadtteil","Jahr","Gymnasium %"
"Rüppurr","2014",75.4
"Rüppurr","2015",66.7
"Rüppurr","2016",68.3
"Rüppurr","2017",60.2
"Rüppurr","2018",67.4
"Rüppurr","2019",71.6
"Rüppurr","2020",73.4
"Rüppurr","2021",68.7
"Waldstadt","2010",51.6
"Waldstadt","2011",60.2
"Waldstadt","2012",65.1
"Waldstadt","2013",54.1
"Waldstadt","2014",60.2
"Waldstadt","2015",51.0
"Waldstadt","2016",57.3
"Waldstadt","2017",47.0
"Waldstadt","2018",51.2
"Waldstadt","2019",52.3
"Waldstadt","2020",59.3
"Waldstadt","2021",59.8
"Rintheim","2010",49.0
"Rintheim","2011",46.3
"Rintheim","2012",57.1
"Rintheim","2013",58.8
"Rintheim","2014",56.3
"Rintheim","2015",43.5
"Rintheim","2016",47.1
"Rintheim","2017",57.8
"Rintheim","2018",59.5
"Rintheim","2019",66.7
"Rintheim","2020",54.2
"Rintheim","2021",42.9
"Hagsfeld","2010",56.7
"Hagsfeld","2011",61.5
"Hagsfeld","2012",62.2
"Hagsfeld","2013",35.5
"Hagsfeld","2014",55.6
"Hagsfeld","2015",65.8
"Hagsfeld","2016",75.0
"Hagsfeld","2017",52.0
"Hagsfeld","2018",58.1
"Hagsfeld","2019",75.7
"Hagsfeld","2020",65.0
"Hagsfeld","2021",68.2
"Durlach","2010",58.6
"Durlach","2011",52.1
"Durlach","2012",62.3
"Durlach","2013",62.9
"Durlach","2014",56.3
"Durlach","2015",55.8
"Durlach","2016",62.0
"Durlach","2017",65.9
"Durlach","2018",61.3
"Durlach","2019",61.9
"Durlach","2020",60.0
"Durlach","2021",66.1
"Grötzingen","2010",49.4
"Grötzingen","2011",57.3
"Grötzingen","2012",53.0
"Grötzingen","2013",56.3
"Grötzingen","2014",50.8
"Grötzingen","2015",49.2
"Grötzingen","2016",60.7
"Grötzingen","2017",60.0
"Grötzingen","2018",51.4
"Grötzingen","2019",69.0
"Grötzingen","2020",54.7
"Grötzingen","2021",74.2
"Stupferich","2010",56.0
"Stupferich","2011",61.1
"Stupferich","2012",70.8
"Stupferich","2013",57.1
"Stupferich","2014",40.0
"Stupferich","2015",55.6
"Stupferich","2016",57.1
"Stupferich","2017",47.1
"Stupferich","2018",46.7
"Stupferich","2019",66.7
"Stupferich","2020",47.1
"Stupferich","2021",51.6
"Hohenwettersbach","2010",75.0
"Hohenwettersbach","2011",76.9
"Hohenwettersbach","2012",79.5
"Hohenwettersbach","2013",71.8
"Hohenwettersbach","2014",75.0
"Hohenwettersbach","2015",85.4
"Hohenwettersbach","2016",76.5
"Hohenwettersbach","2017",83.7
"Hohenwettersbach","2018",85.7
"Hohenwettersbach","2019",71.0
"Hohenwettersbach","2020",82.9
"Hohenwettersbach","2021",73.2
"Wolfartsweier","2010",70.0
"Wolfartsweier","2011",59.4
"Wolfartsweier","2012",82.1
"Wolfartsweier","2013",72.1
"Wolfartsweier","2014",67.6
"Wolfartsweier","2015",54.1
"Wolfartsweier","2016",50.0
"Wolfartsweier","2017",56.0
"Wolfartsweier","2018",70.0
"Wolfartsweier","2019",66.7
"Wolfartsweier","2020",61.9
"Wolfartsweier","2021",58.8
"Grünwettersbach","2010",63.9
"Grünwettersbach","2011",63.6
"Grünwettersbach","2012",57.1
"Grünwettersbach","2013",60.9
"Grünwettersbach","2014",69.2
"Grünwettersbach","2015",51.2
"Grünwettersbach","2016",61.9
"Grünwettersbach","2017",58.5
"Grünwettersbach","2018",60.0
"Grünwettersbach","2019",61.0
"Grünwettersbach","2020",54.9
"Grünwettersbach","2021",63.8
"Palmbach","2010",
"Palmbach","2011",
"Palmbach","2012",
"Palmbach","2013",
"Palmbach","2014",
"Palmbach","2015",
"Palmbach","2016",
"Palmbach","2017",
"Palmbach","2018",
"Palmbach","2019",
"Palmbach","2020",
"Palmbach","2021",
"Neureut","2010",50.3
"Neureut","2011",50.8
"Neureut","2012",54.5
"Neureut","2013",60.2
"Neureut","2014",52.7
"Neureut","2015",67.4
"Neureut","2016",70.0
"Neureut","2017",55.2
"Neureut","2018",65.4
"Neureut","2019",63.6
"Neureut","2020",65.6
"Neureut","2021",66.7
"Nordstadt","2010",61.2
"Nordstadt","2011",63.4
"Nordstadt","2012",57.3
"Nordstadt","2013",59.4
"Nordstadt","2014",54.2
"Nordstadt","2015",62.5
"Nordstadt","2016",64.2
"Nordstadt","2017",66.3
"Nordstadt","2018",57.4
"Nordstadt","2019",50.0
"Nordstadt","2020",58.9
"Nordstadt","2021",59.2
